매물ID,모델,모델_평균가_TE,현재가격_만원,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열,flag_price_9999,flag_high_mileage,flag_non_ev_cc_zero,flag_cc_over_5000,flag_seat_over_12,flag_age_over_25,flag_accident_over_15,flag_non_ev_non_h2_cc_zero
37398208.0,렉스턴 스포츠 칸,2113.842105263158,1700.0,92801,2157.0,5,7,10,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
37424561.0,코란도 투리스모,658.9183673469388,750.0,118621,2157.0,5,10,6,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
38020327.0,티볼리 에어,1023.0752688172043,650.0,120313,1597.0,5,10,2,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
38261140.0,코란도 투리스모,658.9183673469388,650.0,82255,1998.0,5,12,5,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
38349931.0,G4 렉스턴,1783.857142857143,1670.0,93678,2157.0,5,9,11,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
38644690.0,뷰티풀 코란도,1788.5360824742268,1499.0,72261,1597.0,5,7,2,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
38664369.0,렉스턴 스포츠,1540.0945945945946,1880.0,75022,2157.0,5,7,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
39028073.0,뉴코란도 C,468.6666666666667,290.0,124234,1998.0,5,12,2,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
39125310.0,뉴체어맨 W,628.8888888888889,449.0,177104,3199.0,5,13,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
39167777.0,G4 렉스턴,1783.857142857143,1299.0,148146,2157.0,5,9,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
39215444.0,더 뉴 렉스턴 스포츠 칸,2886.434210526316,3980.0,9807,2157.0,5,2,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
39292378.0,코란도 스포츠,797.9574468085107,629.0,100948,1998.0,5,12,8,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
39352895.0,더 뉴 렉스턴 스포츠 칸,2886.434210526316,1979.0,80818,2157.0,5,5,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
39356222.0,티볼리 에어,1023.0752688172043,888.0,77943,1597.0,5,7,14,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
39377547.0,코란도 투리스모,658.9183673469388,350.0,180525,1998.0,11,13,2,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
39377852.0,렉스턴 W,654.3157894736842,899.0,35819,1998.0,7,12,18,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
39388030.0,G4 렉스턴,1783.857142857143,1299.0,156944,2157.0,5,9,5,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
39399003.0,G4 렉스턴,1783.857142857143,2090.0,42193,2157.0,5,6,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
39410385.0,더 뉴 렉스턴 스포츠,2465.627118644068,3450.0,44135,2157.0,5,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
39416988.0,G4 렉스턴,1783.857142857143,1430.0,134684,2157.0,5,9,3,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
